nombre;tipo;zip_code;estado;direccion;seller_rating;seller_reviews
AutoFair Subaru;Dealer;1832;MA;503 North Broadway Haverhill;4.6;817
AutoFair Volkswagen of Nashua;Dealer;3054;NH;717 New Hampshire 101A Merrimack;4.5;372
Autohaus BMW;Dealer;63143;MO;3015 S Hanley Rd Saint Louis;4.9;2698
Autohaus of Peoria;Dealer;61615;IL;2322 W Van Winkle Way Peoria;4.5;71
Autohaus on Edens;Dealer;60062;IL;1600 Frontage Rd Northbrook;4.7;1925
Autoland Toyota/Chrysler/Jeep/Dodge;Dealer;7081;NJ;170 US-22 Springfield Township;4.8;1185
Autolenders Lawrenceville;Dealer;8648;NJ;2568 Brunswick Pike Lawrence;4.9;520
AutoLenders Toms River;Dealer;8753;NJ;1518 Route 37 East Toms River;4.9;642
AutoLenders Voorhees;Dealer;8043;NJ;104 Route 73 Voorhees;4.8;448
AutoLenders Williamstown;Dealer;8094;NJ;1051 N Black Horse Pike Williamstown;4.9;495
Autolocity Motors;Dealer;84401;UT;3330 Wall Avenue Ogden;4.2;197
Autolounge of Edison;Dealer;8817;NJ;540 U.S. Highway 1 Edison;4.2;798
Automax Atlanta;Dealer;30047;GA;5034 Lawrenceville Hwy NW Lilburn;4.1;739
AutoMax Hyundai Del City;Dealer;73115;OK;4401 Tinker Diagonal St Del City;4.7;1287
AutoMax Hyundai Norman;Dealer;73069;OK;551 N Interstate Dr Norman;4.7;1839
Automotive Avenues;Dealer;7727;NJ;5011 Route 33/34 Wall Township;4.7;1472
Automotive Imports;Dealer;80223;CO;1207 S Platte River Dr Denver;4.8;145
AutoNation Acura Hunt Valley;Dealer;21030;MD;10400 York Rd Cockeysville;4.8;128
AutoNation Acura North Orlando;Dealer;32771;FL;1001 Rinehart Rd Sanford;4.7;1085
AutoNation Acura Stevens Creek;Dealer;95051;CA;4747 Stevens Creek Blvd Santa Clara;4.8;999
AutoNation Audi Volkswagen Spokane;Dealer;99206;WA;10006 E Sprague Ave Spokane Valley;4.6;176
AutoNation Buick GMC Henderson;Dealer;89014;NV;330 N Gibson Rd Henderson;4.5;446
Autonation Buick GMC Laurel;Dealer;20707;MD;400 Washington Blvd Laurel;3.7;3
AutoNation Buick GMC Park Meadows;Dealer;80124;CO;8101 E Parkway Dr Lone Tree;4.5;450
AutoNation Buick GMC West;Dealer;80401;CO;16400 W Colfax Ave Golden;4.4;250
AutoNation Buick GMC West Sahara;Dealer;89146;NV;6400 W Sahara Ave Las Vegas;4.6;394
