vin;estado;numero_millas;color_interior;color_exterior;precio_rel;value_for_money_rating_rel;consumer_rating;consumer_reviews;comfort_rating;reliability_rating;exterior_styling_rating;performance_rating;interior_design_rating;marca;modelo;year;nombre_vendedor
2T2HZMDA8LC242981;Used;13845;Black;Nebula Gray Pearl;47.75;4.7;4.8;76;4.9;4.9;4.8;4.8;4.8;Lexus;RX 350 Base;2020;Jim Coleman INFINITI
5FNYF6H22NB028319;Used;3489;Black;Sonic Gray Pearl;44.774;5;5;1;5;5;5;5;5;Honda;Pilot Special Edition;2022;Ourisman of Rockville 
SALWR2RV1KA844709;Used;40234;Ebony/Ebony/Ebony/Ebony;Narvik Black;62.99;4.3;4.7;11;4.7;4.6;4.9;4.7;4.9;Land;Rover Range Rover Sport 3.0L Supercharged HSE;2019;Jaguar Land Rover Bethesda
5UXKR0C54J0X97696;Used;94264;Black;Silver;30.888;4.5;4.8;66;4.8;4.8;4.9;4.9;4.9;BMW;X5 xDrive35i;2018;Merlex Auto Group
5UXTY3C01M9G38814;New;12721;Black;Alpine White;46.5;4.5;4.7;29;4.8;4.6;4.8;4.8;4.7;BMW;X3 sDrive30i;2021;Coggin BMW Treasure Coast
2C4RC1GG9LR181276;Used;47589;Cognac;Brilliant Black Crystal Pearlcoat;32.485;4.6;4.8;59;4.9;4.7;4.9;4.7;4.8;Chrysler;Pacifica Limited;2020;Hampstead Pre-Owned
1C4RJFJG8HC857132;Used;24237;Black;Luxury Brown Pearlcoat;36;4.6;4.8;334;4.8;4.8;4.8;4.7;4.8;Jeep;Grand Cherokee Summit;2017;Kia of Waldorf
WA1LAAF77JD041850;Used;30827;Nougat Brown;Florett Silver Metallic;43.895;4.5;4.7;63;4.9;4.7;4.7;4.8;4.8;Audi;Q7 3.0T Premium Plus;2018;Audi Hunt Valley
JTJAM7BX2M5269943;Used;16061;Black;Starfire Pearl;53.49;4.1;4.6;8;4.9;4.9;4.6;4.8;4.2;Lexus;GX 460 Base;2021;Lexus of Palm Beach
WDDWF8EBXLR542066;New;15447;Silk Beige;Black;42.904;4.2;4.5;13;4.8;4.1;4.7;4.8;4.8;Mercedes-Benz;C-Class C 300 4MATIC;2020;Euro Motorcars Devon
1FM5K8D85JGC11097;Used;34563;Black;Ruby Red;37.5;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Colonial Auto Sales
JM3KFBDM7K0588229;Used;14189;Black;Jet Black Mica;30.999;4.8;4.8;230;4.8;4.8;4.9;4.8;4.8;Mazda;CX-5 Grand Touring;2019;Pacifico Mazda
SALEP7EU1L2016280;Used;16444;Ebony;Fuji White;81.512;4;4.1;6;4.3;3.7;4.3;4.3;4.5;Land;Rover Defender 110 SE;2020;F.C. Kerbeck & Sons
5J6RW2H86KL036699;New;14633;Gray;Modern Steel Metallic;33.98;4.7;4.8;540;4.8;4.8;4.8;4.7;4.8;Honda;CR-V EX-L;2019;Honda of Turnersville
5UXUJ3C55KLG56950;Used;19152;Tacora Red;Mineral White Metallic;44.895;4.1;4.6;21;4.6;4.5;4.8;4.7;4.9;BMW;X4 xDrive30i;2019;Autolounge of Edison
WDDWJ6EB5KF903934;Used;34505;Cranberry Red;Polar White;50.555;5;4.9;5;4.8;4.6;5;5;5;Mercedes-Benz;AMG C 43 Base 4MATIC;2019;Luxury Motor Cars
KNDPM3ACXL7665187;Used;21031;Black;Black Cherry Pearl;26;4.8;4.8;174;4.8;4.9;4.8;4.8;4.8;Kia;Sportage LX;2020;Matthews Kia of Schenectady
1C4RDJDG1KC582555;Used;25242;Lt Frost Beige/Black;DB Black Clearcoat;32.995;4.6;4.7;61;4.8;4.6;4.7;4.7;4.7;Dodge;Durango GT Plus;2019;Croton Auto Park
YV4A22PK9K1496234;Used;20869;Charcoal;Crystal White Pearl Metallic;44.885;4.6;4.7;69;4.9;4.6;4.8;4.8;4.7;Volvo;XC90 T6 Momentum;2019;Karp Volvo Buick Kia
5YFEPRAEXLP077145;Used;45175;Black;Super White;21.909;4.7;4.7;233;4.7;4.8;4.8;4.7;4.7;Toyota;Corolla LE;2020;Balise Toyota
WBA5R7C58KFH05480;New;30871;Beige;Melbourne Red Metallic;38.778;4.6;4.9;30;4.9;4.9;4.9;5;4.9;BMW;330 i xDrive;2019;Tulley BMW of Manchester
WBXYN1C00N5T48576;Used;10829;Black;Mineral Gray Metallic;48.995;4.5;4.8;2;5;5;4.5;5;4.5;BMW;X2 M35i;2022;BMW of Warwick
WDDWK8EB8KF848064;Used;45520;Black;Gray;52.998;4.5;4.8;40;4.8;4.7;4.8;4.8;4.8;Mercedes-Benz;C-Class C 300 4MATIC;2019;The Highline Group
5UXCR6C54KLK81359;New;48064;Black;Black Sapphire Metallic;53.987;4.4;4.7;55;5;4.6;4.7;4.9;4.9;BMW;X5 xDrive40i;2019;BMW of Norwood
1C4PJMDXXKD302126;Used;47328;Black;Green;28.998;4.5;4.6;568;4.8;4.6;4.7;4.5;4.7;Jeep;Cherokee Limited;2019;CarMax Danvers - Now offering Curbside Pickup and Home Delivery
JN1EV7AP9LM203111;New;17921;Graphite;Liquid Platinum;39.995;4.8;4.8;19;4.8;4.9;4.8;4.9;4.8;INFINITI;Q50 3.0t Sport;2020;INFINITI of Van Nuys
19XFC2F62LE210488;Used;19587;Gray;Modern Steel Metallic;23.998;4.8;4.9;169;4.8;4.9;4.9;4.9;4.8;Honda;Civic LX;2020;HGreg Nissan Puente Hills
5UXCR4C00L9C28345;New;21386;Black;White;52.498;4.4;4.7;53;4.8;4.7;4.7;4.8;4.8;BMW;X5 sDrive40i;2020;Long Beach BMW
3VV2B7AX7LM091424;Used;18916;Black;Stone Blue;28.998;4.7;4.7;59;4.8;4.8;4.8;4.6;4.8;Volkswagen;Tiguan 2.0T SE;2020;CarMax Murrieta - Now offering Curbside Pickup and Home Delivery
3VV3B7AX1LM004119;Used;17327;Black;Deep Black Pearl Effect;27.98;4.7;4.7;59;4.8;4.8;4.8;4.6;4.8;Volkswagen;Tiguan 2.0T SE;2020;AutoNation Honda East Las Vegas
2C3CCAKG4JH268457;Used;64063;Black;Bright White Clearcoat;24.898;4.7;4.8;119;4.9;4.8;4.9;4.7;4.9;Chrysler;300 Limited;2018;Tracy Chrysler Jeep Dodge Ram
